codmicro,nomemicro,longitude,latitude
22005,Médio Parnaíba Piauiense,-42.694238294862316,-6.188755727679057
22006,Valença do Piaui,-41.68964047915627,-6.282666007326177
22007,Alto Parnaiba Piauiense,-45.088954093169704,-8.285126628906022
22008,Bertolinia,-43.97948782232652,-7.752198087866671
22009,Floriano,-43.13864179678952,-7.32532405496309
22010,Alto Médio Gurguéia,-44.7660795792482,-9.296618507207121
22011,São Raimundo Nonato,-42.90369489659074,-8.818986999855927
22012,Chapadas do Extremo Sul Piauiense,-44.56388242371507,-10.208394511638621
22013,Picos,-41.888858542744224,-6.976057374717598
22014,Pio IX,-40.879233795298134,-6.903045504852515
22015,Alto Médio Canindé,-41.61778689336632,-7.946277750669254
23001,Litoral de Camocim e Acaraú,-40.59786567778915,-3.097636759196079
23002,Ibiapaba,-41.00694775432583,-3.873735001658216
23003,Coreaú,-40.707311062281946,-3.506677596176532
23004,Meruoca,-40.49438525877529,-3.5896845864140983
23005,Sobral,-40.205073874351676,-3.7352897830886875
23006,Ipu,-40.724345902647876,-4.430042960680986
23007,Santa Quitéria,-40.12149509240229,-4.3978444926157225
23008,Itapipoca,-39.59602650763142,-3.3307686445781757
23009,Baixo Curu,-39.07707526598576,-3.540183229157568
23010,Uruburetama,-39.48059390272123,-3.6698598147574644
23011,Médio Curu,-39.32025839887661,-3.898806007362737
23012,Canindé,-39.39527788656319,-4.3751131007302755
23013,Baturité,-38.850048494217305,-4.4126469838471385
23014,Chorozinho,-38.51953874817278,-4.439736597710695
23015,Cascavel,-38.17925501293832,-4.336619154583748
23016,Fortaleza,-38.681209367190164,-3.9004055197090532
23017,Pacajus,-38.48918609682242,-4.154261930475686
23018,Sertão de Crateus,-40.51208929489737,-5.238578378841124
23019,Sertão de Quixeramobim,-39.297670180947094,-5.057508672631092
23020,Sertão de Inhamuns,-40.27276422498249,-6.254658562436732
23021,Sertão de Senador Pompeu,-39.4856766456949,-5.805539235309971
23022,Litoral de Aracati,-37.67329110410041,-4.670164464399521
23023,Baixo Jaguaribe,-38.189395310146594,-5.0845865442722005
23024,Médio Jaguaribe,-38.70385390520864,-5.713238675488402
23025,Serra do Pereiro,-38.32697739503259,-5.860342117009042
23026,Iguatu,-38.989902760783245,-6.3604142155312084
23027,Várzea Alegre,-39.53542118124269,-6.643471275382123
23028,Lavras da Mangabeira,-38.89104761388958,-6.749517374185199
23029,Chapada do Araripe,-40.12143975166422,-7.057477229092883
23030,Caririaçu,-39.39485018767638,-6.970565311247706
23031,Barro,-38.8206200435017,-7.18672304955815
23032,Cariri,-39.430891172189696,-7.292774046780984
23033,Brejo Santo,-38.960196649775355,-7.488575555771579
24001,Mossoró,-37.31796242708908,-5.128708778649307
24002,Chapada do Apodi,-37.68101454468736,-5.594542774608938
24003,Médio Oeste,-37.29250038491883,-5.8137833430885415
24004,Vale do Açu,-36.90015731505353,-5.578841960906043
24005,Serra de São Miguel,-38.40147027890273,-6.251194867815402
