location,population
F Santana,906417.0
Jeremoabo,106964.0
Euclides Cunha,295783.0
Ribeira Pombal,294178.0
Serrinha,384537.0
Alagoinhas,283973.0
Entre Rios,105852.0
Catu,190548.0
S Ant<f4>nio Jesus,510434.0
Salvador,3082339.0
Boquira,180205.0
Seabra,253852.0
Jequi<e9>,517694.0
Livr.Brumado,92180.0
Guanambi,355645.0
Brumado,264556.0
Vit.Conquista,628202.0
Itapetinga,211576.0
Valen<e7>a,238648.0
Ilh<e9>us-Itabuna,1091461.0
Porto Seguro,649428.0
Una<ed>,139528.0
Paracatu,199217.0
Janu<e1>ria,259009.0
Jana<fa>ba,240080.0
Salinas,201399.0
Pirapora,155685.0
Montes Claros,545838.0
Gr<e3>o Mogol,40815.0
Bocai<fa>va,63638.0
Diamantina,81808.0
Capelinha,187758.0
Ara<e7>ua<ed>,151726.0
Pedra Azul,83707.0
Almenara,172680.0
Te<f3>filo Otoni,258160.0
Nanuque,118602.0
Ituiutaba,133005.0
Uberl<e2>ndia,717876.0
Patroc<ed>nio,187086.0
Patos de Minas,236231.0
Frutal,155171.0
Uberaba,295303.0
Arax<e1>,175336.0
Tr<ea>s Marias,89669.0
Curvelo,144074.0
Bom Despacho,150417.0
Sete Lagoas,354160.0
Conc. M. Dentro,88334.0
Par<e1> de Minas,108809.0
B Horizonte,4352377.0
Itabira,354924.0
Itaguara,58274.0
Ouro Preto,157046.0
Cons. Lafaiete,223587.0
Guanh<e3>es,128187.0
Pe<e7>anha,83915.0
Gov. Valadares,398324.0
Mantena,61342.0
Ipatinga,481554.0
Caratinga,241444.0
Aimor<e9>s,147421.0
Piu<ed>,77692.0
Divin<f3>polis,401149.0
Formiga,146172.0
Campo Belo,106660.0
Oliveira,120467.0
Passos,212920.0
S. Seb. Para<ed>so,256985.0
Alfenas,212176.0
Varginha,413175.0
P. Caldas,314362.0
P. Alegre,287740.0
S Rita Sapuca<ed>,129797.0
S. Louren<e7>o,198611.0
Andrel<e2>ndia,73906.0
Itajub<e1>,183503.0
Lavras,136312.0
S J del Rei,172469.0
Barbacena,207972.0
Ponte Nova,189573.0
Manhua<e7>u,253576.0
Vi<e7>osa,217284.0
Muria<e9>,263145.0
Ub<e1>,245256.0
Juiz de Fora,673745.0
Cataguases,208933.0
Barra S.Franc.,86197.0
Nova Ven<e9>cia,115960.0
Colatina,186911.0
Montanha,50766.0
S<e3>o Mateus,160770.0
Linhares,254413.0
Afonso Cl<e1>udio,126463.0
Santa Teresa,99446.0
Vit<f3>ria,1371048.0
Guarapari,163563.0
Alegre,154319.0
Cach.Itapemirim,315537.0
Itapemirim,69623.0
Itaperuna,181619.0
